,sample.id,EV1,EV2,EV3,EV4,Cultivar,Check_fastq,Type,_,HCPC
45,sorted_bam/SRR2584282_1_sorted.bam,-0.000134576,0.005131352,0.007412682,-0.000477694,OttoMale,SRR2584282,Type III,_,OttoMale_SRR2584282_Type III
46,sorted_bam/SRR2584284_1_sorted.bam,0.116701339,-0.038587594,0.131170784,0.091820793,Otto_2,SRR2584284,Type III,_,Otto_2_SRR2584284_Type III
47,sorted_bam/SRR2584287_1_sorted.bam,-0.050655459,0.029377028,0.099508059,0.015892167,PC3_1,SRR2584287,Unknown,_,PC3_1_SRR2584287_Unknown
48,sorted_bam/SRR2584289_1_sorted.bam,0.032355855,-0.014462766,0.000729613,-0.105069981,PC3_2,SRR2584289,Unknown,_,PC3_2_SRR2584289_Unknown
49,sorted_bam/SRR2584291_1_sorted.bam,0.063861629,0.05067759,0.155455195,-0.122682136,Panama,SRR2584291,Unknown,_,Panama_SRR2584291_Unknown
50,sorted_bam/SRR2584293_1_sorted.bam,0.122797475,-0.122949251,0.039324885,0.196062588,PineBerry,SRR2584293,Type III,_,PineBerry_SRR2584293_Type III
51,sorted_bam/SRR2584295_1_sorted.bam,0.010116326,0.007077136,0.130572145,0.021642098,PurplePrince,SRR2584295,Type I,_,PurplePrince_SRR2584295_Type I
52,sorted_bam/SRR2584297_1_sorted.bam,0.124499809,0.236872564,-0.256371948,-0.002188402,BlueBerryCheeseCakeBC2Fem,SRR2584297,Type I,_,BlueBerryCheeseCakeBC2Fem_SRR2584297_Type I
53,sorted_bam/SRR2584298_1_sorted.bam,0.052529707,0.087442546,0.207249753,-0.016609762,Recon,SRR2584298,Type I,_,Recon_SRR2584298_Type I
54,sorted_bam/SRR2584301_1_sorted.bam,0.125217623,0.241328214,-0.391393257,-0.094788367,SnoopDream,SRR2584301,Type I,_,SnoopDream_SRR2584301_Type I
55,sorted_bam/SRR2584306_1_sorted.bam,0.096302919,-0.019680489,0.064080555,-0.053324187,SourTsunamiFem,SRR2584306,Type III,_,SourTsunamiFem_SRR2584306_Type III
56,sorted_bam/SRR2584308_1_sorted.bam,0.323205139,-0.506417441,-0.116124106,0.210102303,SourTsunami_2,SRR2584308,Type III,_,SourTsunami_2_SRR2584308_Type III
57,sorted_bam/SRR2584311_1_sorted.bam,0.063600347,-0.050495821,0.036267085,-0.001157668,WZ,SRR2584311,Unknown,_,WZ_SRR2584311_Unknown
58,sorted_bam/SRR2584313_1_sorted.bam,0.120833689,-0.173521101,0.131718952,-0.050070589,BlueBerryCheesecake11male,SRR2584313,Type I,_,BlueBerryCheesecake11male_SRR2584313_Type I
