,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,HCPC,,
36,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/LuckyCharms_sorted.bam,0.07359805,0.120776052,-0.136314579,0.049700837,LuckyCharms,Type I,LuckyCharms_Type I,_,_
37,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/MicheNepalMale_sorted.bam,0.034007755,0.080180401,0.156309496,-0.141056786,MicheNepalMale,Unknown,MicheNepalMale_Unknown,_,_
38,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/MoonshineHaze2_sorted.bam,-0.033753206,0.151601686,0.008367527,0.002841469,MoonshineHaze2,Type I,MoonshineHaze2_Type I,_,_
39,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/OGKushSCC_sorted.bam,-0.101554848,-0.081607076,0.230408757,-0.124025046,OGKushSCC,Type I,OGKushSCC_Type I,_,_
40,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/OGKushTest1_sorted.bam,-0.007202439,-0.002254425,0.006850517,-0.011154367,OGKushTest1,Type I,OGKushTest1_Type I,_,_
41,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/OGXPKSCC_sorted.bam,0.356114316,-0.283326525,-0.018400519,0.005021571,OGXPKSCC,Unknown,OGXPKSCC_Unknown,_,_
42,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/PKX808OGSCC_sorted.bam,0.333071972,-0.229858522,-0.067261719,0.046719732,PKX808OGSCC,Unknown,PKX808OGSCC_Unknown,_,_
43,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/PureKush_sorted.bam,-0.190686806,-0.150269028,-0.099036674,-0.040007644,PureKush,Type I,PureKush_Type I,_,_
44,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/RSP11241_sorted.bam,2.48E-53,-1.23E-47,-3.61E-35,-1.18E-30,RSP11241,Unknown,RSP11241_Unknown,_,_
45,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/RedDevil_sorted.bam,0.061658206,0.153776396,0.053452939,0.023353273,RedDevil,Type I,RedDevil_Type I,_,_
46,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/Ringo_sorted.bam,0.037178475,0.076289853,-0.186360586,-0.00726137,Ringo,Type I,Ringo_Type I,_,_
47,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/RioNegraMale_sorted.bam,0.007106052,0.081213952,0.065218301,-0.228648268,RioNegraMale,Type I,RioNegraMale_Type I,_,_
48,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/RollexKush_sorted.bam,-0.207450416,-0.23816967,-0.105582846,-0.024463568,RollexKush,Type I,RollexKush_Type I,_,_
49,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/SSHXWWSCC_sorted.bam,0.236222332,-0.152034517,-0.044440025,0.108036579,SSHXWWSCC,Unknown,SSHXWWSCC_Unknown,_,_
50,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/SensiStarXSFMSCC_sorted.bam,0.218419497,-0.194774314,-0.027901835,0.103289402,SensiStarXSFMSCC,Type I,SensiStarXSFMSCC_Type I,_,_
51,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/SnoopDream_sorted.bam,0.017590111,0.146918947,-0.050839663,0.091535007,SnoopDream,Type I,SnoopDream_Type I,_,_
52,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/SourTsunami_sorted.bam,-0.076167486,0.108829326,-0.108169068,-0.051105107,SourTsunami,Type III,SourTsunami_Type III,_,_
53,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/SuperLemonHaze_sorted.bam,-0.197865173,-0.216512772,-0.073815588,0.01105952,SuperLemonHaze,Type I,SuperLemonHaze_Type I,_,_
54,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/TrainwreckSCC_sorted.bam,-0.110521332,-0.068957931,0.299726034,-0.040348218,TrainwreckSCC,Type I,TrainwreckSCC_Type I,_,_
55,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/WIFI_sorted.bam,-0.039871063,0.030901863,-0.082711518,-0.267654921,WIFI,Type I,WIFI_Type I,_,_
56,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/WIFIGTUBE_sorted.bam,-0.007714734,0.080371841,-0.18334581,-0.08536664,WIFIGTUBE,Type I,WIFIGTUBE_Type I,_,_
57,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/WZ_sorted.bam,0.037648681,0.133244525,-0.153861061,-0.029592315,WZ,Unknown,WZ_Unknown,_,_
58,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/Watermelonhazemale_sorted.bam,-0.005637707,0.000163119,0.015406276,-0.012442635,Watermelonhazemale,Type I,Watermelonhazemale_Type I,_,_
59,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/WhiteWidow_sorted.bam,0.021740692,0.065075908,0.047991899,0.027276378,WhiteWidow,Type I,WhiteWidow_Type I,_,_
60,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/WonderWoman_sorted.bam,-0.013718629,0.13332478,-0.061728117,0.216289462,WonderWoman,Type I,WonderWoman_Type I,_,_
61,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/YeddiMale_sorted.bam,0.012865166,0.071690112,0.080685026,-0.190599851,YeddiMale,Unknown,YeddiMale_Unknown,_,_
