,sample.id,EV1,EV2,EV3,EV4,,,,,Type,Cultivar,,Group,core,Phylos_type,Type_final
808,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/VL_a1_SRR4448292_1_UNKNOWN_sorted.bam,-0.010252,-0.0239167,-0.0472367,0.04463157,VL_a1,_,SRR4448292_1,_,UNKNOWN,VL_a1_SRR4448292_1_UNKNOWN,VL_a1_SRR4448292_1_UNKNOWN,Group 3,,Hemp,Hemp
330,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/G.S.C._a1_SRR4448303_1_THC_Dominant_sorted.bam,0.00287181,0.01329886,-0.023458,0.03336525,G.S.C._a1,_,SRR4448303_1,_,Type_I_,G.S.C._a1_SRR4448303_1_Type_I_,G.S.C._a1_SRR4448303_1_Type_I_,Group 3,,Hemp,Hemp
305,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/God_Bud_b1_SRR4448306_1_THC_Dominant_sorted.bam,0.03299558,0.01560786,-0.0184646,-0.0278628,God_Bud_b1,_,SRR4448306_1,_,Type_I_,God_Bud_b1_SRR4448306_1_Type_I_,God_Bud_b1_SRR4448306_1_Type_I_,Group 2,,Hemp,Hemp
349,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Hawaiian_a1_SRR4448340_1_THC_Dominant_sorted.bam,0.0307154,0.02712035,-0.0214151,-0.0291145,Hawaiian_a1,_,SRR4448340_1,_,Type_I_,Hawaiian_a1_SRR4448340_1_Type_I_,Hawaiian_a1_SRR4448340_1_Type_I_,Group 2,,Hemp,Hemp
229,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Crystal_Goddess_a1_SRR4448352_1_THC_Dominant_sorted.bam,0.01242947,0.00607979,0.01245528,0.07017097,Crystal_Goddess_a1,_,SRR4448352_1,_,Type_I_,Crystal_Goddess_a1_SRR4448352_1_Type_I_,Crystal_Goddess_a1_SRR4448352_1_Type_I_,Group 1,,Hemp,Hemp
373,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Ice_wreck_a1_SRR4448356_1_THC_Dominant_sorted.bam,0.01440749,0.02808767,-0.008896,0.04880832,Ice_wreck_a1,_,SRR4448356_1,_,Type_I_,Ice_wreck_a1_SRR4448356_1_Type_I_,Ice_wreck_a1_SRR4448356_1_Type_I_,Group 3,,Hemp,Hemp
323,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Grand_Master_Cheese_a1_SRR4448367_1_THC_Dominant_sorted.bam,-0.0335392,0.04088929,0.03114231,0.02411193,Grand_Master_Cheese_a1,_,SRR4448367_1,_,Type_I_,Grand_Master_Cheese_a1_SRR4448367_1_Type_I_,Grand_Master_Cheese_a1_SRR4448367_1_Type_I_,Group 3,,Hemp,Hemp
228,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Crunchberry_a1_SRR4448368_1_THC_Dominant_sorted.bam,0.0314732,0.01665098,-0.0139413,-0.0220129,Crunchberry_a1,_,SRR4448368_1,_,Type_I_,Crunchberry_a1_SRR4448368_1_Type_I_,Crunchberry_a1_SRR4448368_1_Type_I_,Group 2,,Hemp,Hemp
69,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Azure_Haze_a1_SRR4448376_1_THC_Dominant_sorted.bam,0.01486055,0.01878032,-0.0125508,0.05130084,Azure_Haze_a1,_,SRR4448376_1,_,Type_I_,Azure_Haze_a1_SRR4448376_1_Type_I_,Azure_Haze_a1_SRR4448376_1_Type_I_,Group 3,,Hemp,Hemp
779,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Trainwreck_b1_SRR4448377_1_THC_Dominant_sorted.bam,0.01901787,-0.0005459,0.02612485,0.05177427,Trainwreck_b1,_,SRR4448377_1,_,Type_I_,Trainwreck_b1_SRR4448377_1_Type_I_,Trainwreck_b1_SRR4448377_1_Type_I_,Group 1,,Hemp,Hemp
461,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Lily2_a1_SRR4448382_1_UNKNOWN_sorted.bam,0.02319523,0.00418446,0.01309806,-0.0369349,Lily2_a1,_,SRR4448382_1,_,UNKNOWN,Lily2_a1_SRR4448382_1_UNKNOWN,Lily2_a1_SRR4448382_1_UNKNOWN,Group 2,,Hemp,Hemp
39,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Afgoo_b1_SRR4448390_1_THC_Dominant_sorted.bam,0.02013417,0.00077046,0.01491929,0.06421608,Afgoo_b1,_,SRR4448390_1,_,Type_I_,Afgoo_b1_SRR4448390_1_Type_I_,Afgoo_b1_SRR4448390_1_Type_I_,Group 1,,Hemp,Hemp
