,sample.id,EV1,EV2,EV3,EV4,SRR Number,Cultivar,Type ,Phlyostype,Cultivar_full,,
1289,sorted_bam/SRR8349346_sorted.bam,-0.007098209,0.029304909,0.025718,0.024004481,SRR8349346,Fucking_Incredible_PGT_193166,Type I,Berry,Fucking_Incredible_PGT_193166_Type I_Berry_SRR8349346,,_
725,sorted_bam/SRR8347107_sorted.bam,0.002983498,-0.015860644,0.019947738,-0.018564558,SRR8347107,GDP_421_PGT_161668,Type I,Berry,GDP_421_PGT_161668_Type I_Berry_SRR8347107,,_
618,sorted_bam/SRR8347000_sorted.bam,-0.001502593,0.018433259,0.015813745,0.010943239,SRR8347000,Gelato_PGT_119540,Type I,Berry,Gelato_PGT_119540_Type I_Berry_SRR8347000,,_
1205,sorted_bam/SRR8349262_sorted.bam,-0.002770348,0.019411445,0.014776868,0.011716805,SRR8349262,Gelato_PGT_20166,Type I,Berry,Gelato_PGT_20166_Type I_Berry_SRR8349262,,_
1098,sorted_bam/SRR8349155_sorted.bam,0.012148556,-0.058580088,0.02259875,0.025098656,SRR8349155,Gelato_33_PGT_198236,Type I,Berry,Gelato_33_PGT_198236_Type I_Berry_SRR8349155,,_
1166,sorted_bam/SRR8349223_sorted.bam,0.014171765,-0.059819024,0.023412211,0.023948493,SRR8349223,Gelato_33_Larry_Bird_Cut_PGT_193123,Type I,Berry,Gelato_33_Larry_Bird_Cut_PGT_193123_Type I_Berry_SRR8349223,,_
1251,sorted_bam/SRR8349308_sorted.bam,0.03940196,-0.03531656,0.051405511,0.021146087,SRR8349308,GG4OG_1_Massive_PGT_88187,Type I,Berry,GG4OG_1_Massive_PGT_88187_Type I_Berry_SRR8349308,,_
1253,sorted_bam/SRR8349310_sorted.bam,0.038942087,0.017117414,0.03268777,-0.014196663,SRR8349310,GG4OG_3_Massive_PGT_88189,Type I,Berry,GG4OG_3_Massive_PGT_88189_Type I_Berry_SRR8349310,,_
709,sorted_bam/SRR8347091_sorted.bam,0.008891411,0.013959903,0.090612693,0.032933031,SRR8347091,Girl_Scout_Cookies_PGT_119518,Type I,Berry,Girl_Scout_Cookies_PGT_119518_Type I_Berry_SRR8347091,,_
1149,sorted_bam/SRR8349206_sorted.bam,0.009469844,0.013316735,0.090741109,0.034846752,SRR8349206,Girl_Scout_Cookies_PGT_53934,Type I,Berry,Girl_Scout_Cookies_PGT_53934_Type I_Berry_SRR8349206,,_
1062,sorted_bam/SRR8349119_sorted.bam,0.008743936,0.010335228,0.091086295,0.034310908,SRR8349119,Girl_Scout_Cookies_PGT_87949,Type I,Berry,Girl_Scout_Cookies_PGT_87949_Type I_Berry_SRR8349119,,_
1074,sorted_bam/SRR8349131_sorted.bam,0.008902765,0.010755168,0.090276449,0.032429876,SRR8349131,Girl_Scout_Cookies_PGT_87953,Type I,Berry,Girl_Scout_Cookies_PGT_87953_Type I_Berry_SRR8349131,,_
1031,sorted_bam/SRR8349088_sorted.bam,0.010845726,0.01123069,0.090838335,0.034370099,SRR8349088,Girl_Scout_Cookies_Forum_PGT_87975,Type I,Berry,Girl_Scout_Cookies_Forum_PGT_87975_Type I_Berry_SRR8349088,,_
800,sorted_bam/SRR8347182_sorted.bam,0.009017609,0.011059432,0.090055376,0.032479595,SRR8347182,Girl_Scout_Cookies_Forum_Cut_PGT_112208,Type I,Berry,Girl_Scout_Cookies_Forum_Cut_PGT_112208_Type I_Berry_SRR8347182,,_
352,sorted_bam/SRR8346734_sorted.bam,0.026623998,-0.041287219,0.045191987,0.014989905,SRR8346734,Girl_Scout_Cookies_Forum_Cut_PGT_112249,Type I,Berry,Girl_Scout_Cookies_Forum_Cut_PGT_112249_Type I_Berry_SRR8346734,,_
1208,sorted_bam/SRR8349265_sorted.bam,6.06E-05,0.010639365,0.017747482,0.035066475,SRR8349265,Girl_Scout_Forum_Cut_PGT_20162,Type I,Berry,Girl_Scout_Forum_Cut_PGT_20162_Type I_Berry_SRR8349265,,_
357,sorted_bam/SRR8346739_sorted.bam,0.009250504,-0.03219427,0.023082197,-0.030162021,SRR8346739,Gods_Gift_PGT_112244,Type I,Berry,Gods_Gift_PGT_112244_Type I_Berry_SRR8346739,,_
74,sorted_bam/SRR8346456_sorted.bam,-0.02126473,-0.013969366,0.053191752,-0.006943901,SRR8346456,Golden_Calyx_PGT_126649,Type I,Berry,Golden_Calyx_PGT_126649_Type I_Berry_SRR8346456,,_
233,sorted_bam/SRR8346615_sorted.bam,0.026845776,-0.043217082,0.046359839,0.015980355,SRR8346615,Golden_State_Cookies_PGT_115260,Type I,Berry,Golden_State_Cookies_PGT_115260_Type I_Berry_SRR8346615,,_
360,sorted_bam/SRR8346742_sorted.bam,0.024969336,0.006858142,0.078444319,-0.067805572,SRR8346742,Gorilla_Cookies_PGT_112241,Type I,Berry,Gorilla_Cookies_PGT_112241_Type I_Berry_SRR8346742,,_
484,sorted_bam/SRR8346866_sorted.bam,0.000209147,-0.031895391,0.06778308,-0.019623619,SRR8346866,Grafford_Kush_PGT_147517,Type I,Berry,Grafford_Kush_PGT_147517_Type I_Berry_SRR8346866,,_
225,sorted_bam/SRR8346607_sorted.bam,-0.021615423,-0.013835415,0.05679378,0.008547517,SRR8346607,Grand_Daddy_Purple_PGT_112261,Type I,Berry,Grand_Daddy_Purple_PGT_112261_Type I_Berry_SRR8346607,,_
700,sorted_bam/SRR8347082_sorted.bam,0.001170014,0.014681527,0.078904282,0.04162788,SRR8347082,Grape_Calyx_PGT_126655,Type I,Berry,Grape_Calyx_PGT_126655_Type I_Berry_SRR8347082,,_
692,sorted_bam/SRR8347074_sorted.bam,-0.022594179,-0.045063411,0.021314341,-0.007244143,SRR8347074,Grunk_PGT_112251,Type I,Berry,Grunk_PGT_112251_Type I_Berry_SRR8347074,,_
1129,sorted_bam/SRR8349186_sorted.bam,0.012141986,-0.035566431,0.040894469,0.008701233,SRR8349186,Gut_Buster_PGT_88177,Type I,Berry,Gut_Buster_PGT_88177_Type I_Berry_SRR8349186,,_
1315,sorted_bam/SRR8349372_sorted.bam,0.02979705,0.017076559,0.044451586,-0.005917174,SRR8349372,H_RX_Breeders_Cut_PGT_54037,Type I,Berry,H_RX_Breeders_Cut_PGT_54037_Type I_Berry_SRR8349372,,_
780,sorted_bam/SRR8347162_sorted.bam,-0.000331007,-0.031056631,0.01300324,0.025536397,SRR8347162,Harley_Wreck_PGT_119496,Type I,Berry,Harley_Wreck_PGT_119496_Type I_Berry_SRR8347162,,_
339,sorted_bam/SRR8346721_sorted.bam,0.014252531,0.002335373,0.071218307,0.024982258,SRR8346721,Hazy_Girl_PGT_108292,Type I,Berry,Hazy_Girl_PGT_108292_Type I_Berry_SRR8346721,,_
183,sorted_bam/SRR8346565_sorted.bam,-0.006634922,-0.015851248,-0.00153895,0.056342038,SRR8346565,Huckleberries_PGT_147498,Type I,Berry,Huckleberries_PGT_147498_Type I_Berry_SRR8346565,,_
432,sorted_bam/SRR8346814_sorted.bam,0.017170454,0.040557517,0.059761991,0.02168501,SRR8346814,ICC_PGT_126683,Type I,Berry,ICC_PGT_126683_Type I_Berry_SRR8346814,,_
863,sorted_bam/SRR8347245_sorted.bam,0.006827961,-0.020996146,0.030002304,0.007216906,SRR8347245,Jack_Herer_2_PGT_179976,Type I,Berry,Jack_Herer_2_PGT_179976_Type I_Berry_SRR8347245,,_
1256,sorted_bam/SRR8349313_sorted.bam,0.027206641,-0.005800174,0.044827175,0.024532412,SRR8349313,Jaeger_OG_2_Massive_PGT_88190,Type I,Berry,Jaeger_OG_2_Massive_PGT_88190_Type I_Berry_SRR8349313,,_
1255,sorted_bam/SRR8349312_sorted.bam,-0.002115559,-0.010450847,0.024840571,0.02887851,SRR8349312,Jaeger_OG_BX1_Massive_PGT_88191,Type I,Berry,Jaeger_OG_BX1_Massive_PGT_88191_Type I_Berry_SRR8349312,,_
