,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,HCPC,
60,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089282.1_1_sorted.bam,0.066217734,-0.032623444,0.018395998,0.009300165,Dez-01-M.R1.fastq.gz.1_SRR9089282_Khuzestan_Dezful,Type I,Dez-01-M.R1.fastq.gz.1_SRR9089282_Khuzestan_Dezful_Type I,_
65,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089287.1_1_sorted.bam,0.096879188,-0.044378631,0.017952818,0.030418693,Zah-01-F.R1.fastq.gz.1_SRR9089287_Sistan and Baluchestan_Zahedan,Type I,Zah-01-F.R1.fastq.gz.1_SRR9089287_Sistan and Baluchestan_Zahedan_Type I,_
66,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089288.1_1_sorted.bam,0.087709366,-0.014306029,0.020942447,0.004486888,Zah-01-M.R1.fastq.gz.1_SRR9089288_Sistan and Baluchestan_Zahedan,Type I,Zah-01-M.R1.fastq.gz.1_SRR9089288_Sistan and Baluchestan_Zahedan_Type I,_
75,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089297.1_1_sorted.bam,0.093698598,-0.057004682,0.002663277,0.020393367,Krmn-01-M-2.R1.fastq.gz.1_SRR9089297_Kerman_Kerman,Type I,Krmn-01-M-2.R1.fastq.gz.1_SRR9089297_Kerman_Kerman_Type I,_
76,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089298.1_1_sorted.bam,0.070603696,-0.002310549,0.036158164,0.039561438,Krmn-01-F.R1.fastq.gz.1_SRR9089298_Kerman_Kerman,Type I,Krmn-01-F.R1.fastq.gz.1_SRR9089298_Kerman_Kerman_Type I,_
81,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089303.1_1_sorted.bam,0.087617697,0.012680086,0.068099323,0.023780827,Bam-01-F.R1.fastq.gz.1_SRR9089303_Kerman_Bam,Type I,Bam-01-F.R1.fastq.gz.1_SRR9089303_Kerman_Bam_Type I,_
82,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089304.1_1_sorted.bam,0.096018697,-0.055028925,0.021078666,-0.021221666,Bam-01-M.R1.fastq.gz.1_SRR9089304_Kerman_Bam,Type I,Bam-01-M.R1.fastq.gz.1_SRR9089304_Kerman_Bam_Type I,_
86,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089309.1_1_sorted.bam,0.091334543,-0.024277092,0.037804877,0.012688072,Abh-01-M-2.R1.fastq.gz.1_SRR9089309_Zanjan_Abhar,Type I,Abh-01-M-2.R1.fastq.gz.1_SRR9089309_Zanjan_Abhar_Type I,_
89,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089312.1_1_sorted.bam,0.09645663,-0.022684568,0.022304687,0.008324889,Abh-01-F.R1.fastq.gz.1_SRR9089312_Afghanestan,Type I,Abh-01-F.R1.fastq.gz.1_SRR9089312_Afghanestan_Type I,_
94,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089317.1_1_sorted.bam,0.066921683,-0.021577976,0.071082587,0.044169414,Bsh-01-M.R1.fastq.gz.1_SRR9089317_South Khorasan_Boshruyeh,Type I,Bsh-01-M.R1.fastq.gz.1_SRR9089317_South Khorasan_Boshruyeh_Type I,_
85,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089308.1_1_sorted.bam,0.034590127,-0.048356732,-0.218224643,-0.05771608,Ard-01-F.R1.fastq.gz.1_SRR9089308_Ardabil_Ardabil,Type II,Ard-01-F.R1.fastq.gz.1_SRR9089308_Ardabil_Ardabil_Type II,_
6,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089228.1_1_sorted.bam,-0.073350831,0.132986193,0.040185184,0.031093421,Ban-01-M-2.R1.fastq.gz.1_SRR9089228_Kurdistan_Baneh,Type III,Ban-01-M-2.R1.fastq.gz.1_SRR9089228_Kurdistan_Baneh_Type III,_
7,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089229.1_1_sorted.bam,-0.046947609,0.147367494,0.027298462,0.009457611,Ban-01-F.R1.fastq.gz.1_SRR9089229_Kurdistan_Baneh,Type III,Ban-01-F.R1.fastq.gz.1_SRR9089229_Kurdistan_Baneh_Type III,_
