,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
74,sorted_bam/Chem_91_RSP10545_Drug_THC_sorted.bam,-0.058278586,0.01581499,-0.093070575,-0.003274751,Chem_91_Type I_F_RSP10545,Type I
78,sorted_bam/Chemodo_Dragon_RSP10524_Drug_THC_sorted.bam,-0.078020721,0.06557873,-0.09115596,-0.06993336,Chemodo_Dragon_Type I_not reported_RSP10524,Type I
79,sorted_bam/Chernobyl_RSP10177_Drug_THC_sorted.bam,-0.009277468,-0.009596406,0.0119332,0.014784896,Chernobyl_Type I_F_RSP10177,Type I
81,sorted_bam/Cherry_Diesel_RSP10609_Drug_THC_sorted.bam,0.032105731,0.053449293,-0.076120275,-0.010459463,Cherry_Diesel_Type I_F_RSP10609,Type I
82,sorted_bam/Cherry_Durban_Poison_RSP10196_Drug_THC_sorted.bam,0.092274336,0.185054072,-0.039760554,-0.013301315,Cherry_Durban_Poison_Type I_F_RSP10196,Type I
83,sorted_bam/Cherry_Limeade_RSP10170_Drug_THC_sorted.bam,-0.048526713,-0.021407235,-0.018522984,0.075183086,Cherry_Limeade_Type I_F_RSP10170,Type I
87,sorted_bam/Cinex_RSP10388_Drug_THC_sorted.bam,0.005182788,-0.055185813,0.030714253,0.007878092,Cinex_Type I_F_RSP10388,Type I
90,sorted_bam/Clementine_1_RSP10543_Drug_THC_sorted.bam,0.059867007,-0.074651982,-0.065771131,-0.007871584,Clementine_1_Type I_F_RSP10543,Type I
96,sorted_bam/Crocketts_Haze_22_RSP10542_Drug_THC_sorted.bam,0.012924483,0.007177156,-0.02672232,-0.041274529,Crocketts_Haze_22_Type I_F_RSP10542,Type I
98,sorted_bam/Dark_Knight_3_RSP10960_Drug_THC_sorted.bam,-0.032628351,-0.00017128,0.03206337,0.004195201,Dark_Knight_3_Type I_F_RSP10960,Type I
101,sorted_bam/Dirks_OG_RSP10582_Drug_THC_sorted.bam,-0.079272851,0.037039317,-0.065033179,0.046895819,Dirks_OG_Type I_F_RSP10582,Type I
102,sorted_bam/Divided_Sky_RSP10624_Drug_THC_sorted.bam,0.028812743,-0.044843947,0.030589012,-0.032286102,Divided_Sky_Type I_F_RSP10624,Type I
105,sorted_bam/Dream_Beaver_RSP10094_Drug_THC_sorted.bam,0.014059856,-0.072314403,-0.0056683,0.025677265,Dream_Beaver_Type I_F_RSP10094,Type I
106,sorted_bam/Dr_Who_RSP10066_Drug_THC_sorted.bam,0.056052495,-0.068520297,-0.038236884,0.025701326,Dr_Who_Type I_F_RSP10066,Type I
108,sorted_bam/Durban_Poison_1_RSP10150_Drug_THC_sorted.bam,0.054055461,-0.089763103,-0.058986034,-0.006804254,Durban_Poison_1_Type I_F_RSP10150,Type I
111,sorted_bam/E005AMMPR0001_RSP10483_Drug_THC_sorted.bam,-0.109041684,0.007565264,-0.048086003,-0.054203772,E005AMMPR0001_Type I_not reported_RSP10483,Type I
112,sorted_bam/E005AMMSG0001_RSP10482_Drug_THC_sorted.bam,-0.099937471,0.002330989,-0.041142343,-0.021139754,E005AMMSG0001_Type I_not reported_RSP10482,Type I
114,sorted_bam/Face_Off_OG_RSP10146_Drug_THC_sorted.bam,-0.140936819,0.037571099,-0.041106724,-0.055342769,Face_Off_OG_Type I_F_RSP10146,Type I
124,sorted_bam/Ghost_Train_Haze_RSP10604_Drug_THC_sorted.bam,-0.087486389,0.020420379,0.013430299,-0.086088753,Ghost_Train_Haze_Type I_not reported_RSP10604,Type I
128,sorted_bam/Girl_Scout_Cookies_3_RSP10246_Drug_THC_sorted.bam,-0.028765025,0.009358479,0.006986009,0.078584407,Girl_Scout_Cookies_3_Type I_F_RSP10246,Type I
133,sorted_bam/Glueberry_RSP10703_Drug_THC_sorted.bam,-0.067102392,0.030738464,0.040170898,0.090291343,Glueberry_Type I_F_RSP10703,Type I
134,sorted_bam/Glue_on_Fire_1_RSP10592_Drug_THC_sorted.bam,-0.111462558,0.026180468,-0.026617683,-0.031503126,Glue_on_Fire_1_Type I_F_RSP10592,Type I
135,sorted_bam/Golden_Goat_2_1_RSP10945_Drug_THC_sorted.bam,0.049116382,0.086186264,0.000519887,-0.004482996,Golden_Goat_2_1_Type I_F_RSP10945,Type I
136,sorted_bam/Golden_Ticket_RSP10610_Drug_THC_sorted.bam,-0.009808388,0.003060218,0.014769918,-0.000777304,Golden_Ticket_Type I_F_RSP10610,Type I
138,sorted_bam/Grape_Ape_1_RSP10248_Drug_THC_sorted.bam,0.000952035,0.018402575,0.068762276,0.118325357,Grape_Ape_1_Type I_F_RSP10248,Type I
139,sorted_bam/Grape_Ape_2_RSP10250_Drug_THC_sorted.bam,0.007257824,0.023535389,0.089569634,0.137989593,Grape_Ape_2_Type I_F_RSP10250,Type I
141,sorted_bam/Green_Crack_2_RSP10166_Drug_THC_sorted.bam,0.042376052,-0.068102967,-0.036982876,0.018534668,Green_Crack_2_Type I_F_RSP10166,Type I
143,sorted_bam/Gupta_Kush_RSP10520_Drug_THC_sorted.bam,-0.096086483,0.094557641,-0.026882029,-0.129450498,Gupta_Kush_Type I_not reported_RSP10520,Type I
