,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
55,sorted_bam/Butter_OG_RSP10181_Drug_THC_sorted.bam,-0.111188667,0.043612648,-0.081456943,-0.069863903,Butter_OG_no info_F_RSP10181,no info
56,sorted_bam/C4_1_RSP10382_Unknown_sorted.bam,0.013639664,-0.008923899,-0.073483626,-0.051914478,C4_1_no info_F_RSP10382,C4_1_no info_F_RSP10382
57,sorted_bam/C4_2_RSP10971_Drug_THC_sorted.bam,0.009033775,-0.002473432,-0.114008882,0.007972449,C4_2_Type I_F_RSP10971,Type I
58,sorted_bam/C4_X_Blue_Dream_X_Hardy_RSP10405_Drug_THC_sorted.bam,-0.02819937,-0.012663592,-0.068327667,-0.027340095,C4_X_Blue_Dream_X_Hardy_no info_F_RSP10405,no info
59,sorted_bam/C4_x_Canna_Tsu_RSP10383_Unknown_sorted.bam,-0.017310972,-0.018635268,0.005068709,-0.081792441,C4_x_Canna_Tsu_no info_M_RSP10383,no info
60,sorted_bam/Candyland_RSP10428_Drug_THC_sorted.bam,0.000265207,-0.03878201,-0.09168967,-0.009944265,Candyland_Type I_F_RSP10428,Type I
61,sorted_bam/CANNATONIC_1_RSP10082_Drug_CBD_sorted.bam,0.033984532,-0.046758004,0.041910205,-0.042055999,CANNATONIC_1_Type II_F_RSP10082,Type II
62,sorted_bam/Cannatsu_RSP10158_Drug_CBD_sorted.bam,0.033690366,-0.051063925,-0.016318014,0.033256699,Cannatsu_no info_F_RSP10158,no info
63,sorted_bam/Canna_tsu_RSP10391_Drug_THC_CBD_sorted.bam,0.010300788,-0.00628971,0.043447927,-0.019741933,Canna_tsu_no info_M_RSP10391,no info
64,sorted_bam/Carmagnola_2_RSP10237_Hemp_sorted.bam,0.007404733,-0.010969967,0.111005476,-0.066419538,Carmagnola_2_no info_M_RSP10237,no info
65,sorted_bam/Casey_Jones_RSP10606_Drug_THC_sorted.bam,0.079393485,-0.077299771,-0.121834495,0.012445118,Casey_Jones_Type I_F_RSP10606_,Type I
66,sorted_bam/CATATONIC_AC_DC_RSP10072_Drug_CBD_sorted.bam,0.044260863,-0.025751166,0.078752618,-0.131653635,CATATONIC_AC_DC_Type III_F_RSP10072,Type III
67,sorted_bam/CBDI_AC_DC_RSP10103_Drug_CBD_sorted.bam,0.047419229,-0.027869969,0.079669388,-0.137985219,CBDI_AC_DC_Type III_F_RSP10103,Type III
68,sorted_bam/CBD_Mango_Haze_RSP10090_Drug_CBD_sorted.bam,0.055027121,-0.035864293,0.051098556,-0.059630485,CBD_Mango_Haze_Type II_F_RSP10090,Type II
