name,hcpc_order,check,BAR
OG_Kush_X_Purple_Bubblegum_X_C4_no info_not reported_RSP10399,36,OG_Kush_X_Purple_Bubblegum_X_C4_no info_not reported_RSP10399,no info
Girl_Scout_Platinum_no info_F_RSP10091,37,Girl_Scout_Platinum_no info_F_RSP10091,no info
Sour_Tsunami_x_Cataract_Ku_Type II_F_RSP10215,38,Sour_Tsunami_x_Cataract_Ku_Type II_F_RSP10215,Type II
Ghost_Train_Haze_x_Snow_Dog_no info_F_RSP10148,39,Ghost_Train_Haze_x_Snow_Dog_no info_F_RSP10148,no info
Orange_Zeta_Type I_F_RSP10961,40,Orange_Zeta_Type I_F_RSP10961,Type I
NYC_Diesel_no info_F_RSP10028,41,NYC_Diesel_no info_F_RSP10028,no info
Pineapple_Express_Type I_F_RSP10429,42,Pineapple_Express_Type I_F_RSP10429,Type I
Bubblegummer_Type I_F_RSP10088,43,Bubblegummer_Type I_F_RSP10088,Type I
Jack_Herrer_Type I_F_RSP10587,44,Jack_Herrer_Type I_F_RSP10587,Type I
XJ_13_no info_not reported_RSP10474,45,XJ_13_no info_not reported_RSP10474,no info
Saint_Jack_2_Type I_F_RSP10210,46,Saint_Jack_2_Type I_F_RSP10210,Type I
Tangerine_Haze_1_Type I_F_RSP10944,47,Tangerine_Haze_1_Type I_F_RSP10944,Type I
Super_Lemon_Haze_1_no info_F_RSP10139,48,Super_Lemon_Haze_1_no info_F_RSP10139,no info
Critical_Mass_no info_F_RSP10167,49,Critical_Mass_no info_F_RSP10167,no info
Casey_Jones_Type I_F_RSP10606_,50,Casey_Jones_Type I_F_RSP10606_,Type I
Tangie_1_no info_F_RSP10191,51,Tangie_1_no info_F_RSP10191,no info
Bio_Diesel_Type I_F_RSP10590,52,Bio_Diesel_Type I_F_RSP10590,Type I
Death_Star_no info_F_RSP10130,53,Death_Star_no info_F_RSP10130,no info
Kong_Type I_F_RSP10161,54,Kong_Type I_F_RSP10161,Type I
Sweet_Tart_no info_not reported_RSP10475,55,Sweet_Tart_no info_not reported_RSP10475,no info
Chocoloupe_x_Super_Silver_Haze_no info_F_RSP10225,56,Chocoloupe_x_Super_Silver_Haze_no info_F_RSP10225,no info
Sour_Diesel_X_Unknown_2_no info_F_RSP10419,57,Sour_Diesel_X_Unknown_2_no info_F_RSP10419,no info
Breakthrough_Type I_F_RSP10096,58,Breakthrough_Type I_F_RSP10096,Type I
Dream_Beaver_Type I_F_RSP10094,59,Dream_Beaver_Type I_F_RSP10094,Type I
Arch_Angel_no info_F_RSP10132,60,Arch_Angel_no info_F_RSP10132,no info
Citrisoul_no info_F_RSP10151,61,Citrisoul_no info_F_RSP10151,no info
Dutch_Treat_Haze_Type II_F_RSP10197,62,Dutch_Treat_Haze_Type II_F_RSP10197,Type II
Juneaus_Gift_Type I_F_RSP10547,63,Juneaus_Gift_Type I_F_RSP10547,Type I
Lambs_Bread_no info_F_RSP10138,64,Lambs_Bread_no info_F_RSP10138,no info
PINEAPPLE_TSU_1_Type II_F_RSP10075,65,PINEAPPLE_TSU_1_Type II_F_RSP10075,Type II
Serious_Happiness_1_Type I_F_RSP10121,66,Serious_Happiness_1_Type I_F_RSP10121,Type I
Green_Crack_1_no info_M_RSP10069,67,Green_Crack_1_no info_M_RSP10069,no info
Cannatsu_no info_F_RSP10158,68,Cannatsu_no info_F_RSP10158,no info
Purple_Cactus_4_Type I_F_RSP10963,69,Purple_Cactus_4_Type I_F_RSP10963,Type I
Chem_Dawg_Type II_F_RSP10192,70,Chem_Dawg_Type II_F_RSP10192,Type II
Chocolope_no info_F_RSP10016,71,Chocolope_no info_F_RSP10016,no info
Tangilope_no info_F_RSP10283,72,Tangilope_no info_F_RSP10283,no info
Wappa_Type I_F_RSP10430,73,Wappa_Type I_F_RSP10430,Type I
Girl_Scout_Cookies_5_no info_not reported_RSP10435,74,Girl_Scout_Cookies_5_no info_not reported_RSP10435,no info
HARLE_TSU_1_Type I_F_RSP10098,75,HARLE_TSU_1_Type I_F_RSP10098,Type I
Blazin_Grapefruit_Type I_F_RSP10003,76,Blazin_Grapefruit_Type I_F_RSP10003,Type I
Sugar_Black_Rose_Type I_F_RSP10962,77,Sugar_Black_Rose_Type I_F_RSP10962,Type I
Snowcap_1_no info_F_RSP10142,78,Snowcap_1_no info_F_RSP10142,no info
Blue_Dream_3_Type I_F_RSP10195,79,Blue_Dream_3_Type I_F_RSP10195,Type I
HARLEQUIN_TSUNAMI_Type III_F_RSP10099,80,HARLEQUIN_TSUNAMI_Type III_F_RSP10099,Type III
HARLEQUIN_CBD_Type II_F_RSP10076,81,HARLEQUIN_CBD_Type II_F_RSP10076,Type II
Harlequin_Type II_F_RSP10140,82,Harlequin_Type II_F_RSP10140,Type II
PINEAPPLE_TSU_2_Type III_F_RSP10077,83,PINEAPPLE_TSU_2_Type III_F_RSP10077,Type III
CRITICAL_MASS_CBD_Type II_F_RSP10012,84,CRITICAL_MASS_CBD_Type II_F_RSP10012,Type II
