,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,,HCPC
86,sorted_bam/SRR3495241_1_sort.bam,0.054816953,0.021676414,-0.026077658,-0.043368762,CBD_Diesel,Type III,_,CBD_Diesel_Type III
87,sorted_bam/SRR3495242_1_sort.bam,-0.092689751,-0.067007991,0.091636212,0.022364981,PK_Cookies,Type I,_,PK_Cookies_Type I
88,sorted_bam/SRR3495243_1_sort.bam,-0.014847933,-0.079469216,0.019846974,-0.004558989,OG_18,Type I,_,OG_18_Type I
89,sorted_bam/SRR3495244_1_sort.bam,-5.87E-50,-1.11E-49,-7.70E-57,1.81E-49,Phantom_Cookies,Type I,_,Phantom_Cookies_Type I
90,sorted_bam/SRR3495245_1_sort.bam,-0.011770687,-0.086876965,0.050172037,0.056340739,Chem_91',Type I,_,Chem_91'_Type I
91,sorted_bam/SRR3495246_1_sort.bam,-0.01095494,0.086941493,0.028871019,0.036009495,Black_Cherry,Type I,_,Black_Cherry_Type I
92,sorted_bam/SRR3495247_1_sort.bam,0.012200909,0.018956176,0.010260275,-0.02102602,L.B.K,Type I,_,L.B.K_Type I
93,sorted_bam/SRR3495248_1_sort.bam,-0.071659301,0.010027084,-0.00198311,0.085829409,Golden_Goat_1,Type I,_,Golden_Goat_1_Type I
94,sorted_bam/SRR3495249_1_sort.bam,0.046278746,0.070059781,-0.024280239,-0.018014714,Canna_Tsu,Type II,_,Canna_Tsu_Type II
95,sorted_bam/SRR3495250_1_sort.bam,-0.150857621,-0.096919362,0.116483005,-0.025954053,International_OG,Type I,_,International_OG_Type I
96,sorted_bam/SRR3495251_1_sort.bam,0.059406049,0.022853907,0.033496926,0.002057846,Mad_Cow,Type I,_,Mad_Cow_Type I
97,sorted_bam/SRR3495252_1_sort.bam,-0.087599369,-0.071005916,0.069893858,-0.01890996,Guido_OG,Type I,_,Guido_OG_Type I
98,sorted_bam/SRR3495254_1_sort.bam,-0.03969637,-0.091510093,0.067387278,0.059131338,Sour_Diesel_1,Type I,_,Sour_Diesel_1_Type I
99,sorted_bam/SRR3495255_1_sort.bam,-0.103727334,-0.068184857,0.070781026,-0.063672518,Chocolate_Kush,Type I,_,Chocolate_Kush_Type I
100,sorted_bam/SRR3495256_1_sort.bam,-0.0963163,-0.042104655,0.09137303,-0.043726915,Screaming_Haze,Type I,_,Screaming_Haze_Type I
101,sorted_bam/SRR3495257_1_sort.bam,0.047318135,-0.088055158,0.022914991,0.151250406,Cheese_Quake,Type I,_,Cheese_Quake_Type I
102,sorted_bam/SRR3495258_1_sort.bam,-0.144712478,-0.144913295,0.012612836,-0.066938862,Larry_OG,Type I,_,Larry_OG_Type I
103,sorted_bam/SRR3495259_1_sort.bam,-0.105576622,0.000763281,-0.116740701,-0.122894114,Sour_Patch_Kush,Type I,_,Sour_Patch_Kush_Type I
104,sorted_bam/SRR3495260_1_sort.bam,0.067167505,-0.110529162,-0.087544477,-0.17650584,4-Jack,Type I,_,4-Jack_Type I
105,sorted_bam/SRR3495262_1_sort.bam,-0.087488731,-0.084970552,0.054447828,0.053213432,Girl_Scout_Cookie_#6,Type I,_,Girl_Scout_Cookie_#6_Type I
106,sorted_bam/SRR3495266_1_sort.bam,-0.192090509,-0.140915479,0.097427682,0.041690729,Kosher_Kush_1,Type I,_,Kosher_Kush_1_Type I
107,sorted_bam/SRR3495267_1_sort.bam,0.116118783,-0.060952199,-0.009695389,-0.148540864,Wonder_Woman,Type I,_,Wonder_Woman_Type I
108,sorted_bam/SRR3495268_1_sort.bam,0.088232267,-0.064105732,-0.042800044,0.03784066,Critical_Kush_2,Type I,_,Critical_Kush_2_Type I
109,sorted_bam/SRR3495269_1_sort.bam,0.000526955,-0.001498533,-0.001926937,-0.003314772,Afghan_Skunk_Kush,Type I,_,Afghan_Skunk_Kush_Type I
110,sorted_bam/SRR3495270_1_sort.bam,-0.040457481,-0.172545787,-0.126177366,7.06E-05,A-train,Type I,_,A-train_Type I
111,sorted_bam/SRR3495271_1_sort.bam,-0.010897652,-0.053251272,-0.042553493,0.096018644,Sour_Willie,Type I,_,Sour_Willie_Type I
112,sorted_bam/SRR3495272_1_sort.bam,-0.00433891,-0.091620895,-0.019825871,0.142458709,Mazar,Type I,_,Mazar_Type I
113,sorted_bam/SRR3495273_1_sort.bam,0.051662579,0.012869867,-0.002896649,-0.063734685,Pink_Lady,Type I,_,Pink_Lady_Type I
114,sorted_bam/SRR3495274_1_sort.bam,0.045070351,0.0238946,-0.028767096,-0.010225043,Grape_AK-47,Type I,_,Grape_AK-47_Type I
115,sorted_bam/SRR3495275_1_sort.bam,0.087353909,0.020316123,-0.092539371,0.024817644,Melon_Gum,Type I,_,Melon_Gum_Type I
116,sorted_bam/SRR3495276_1_sort.bam,0.046373096,0.027872363,0.001727809,-0.046369812,Green_Crack_2,Type I,_,Green_Crack_2_Type I
117,sorted_bam/SRR3495277_1_sort.bam,-0.194649535,0.164844724,-0.130520277,-0.027959573,Bubba_Kush,Type I,_,Bubba_Kush_Type I
118,sorted_bam/SRR3495278_1_sort.bam,0.038553803,-0.052987491,-0.084583869,0.115214905,LSD,Type I,_,LSD_Type I
119,sorted_bam/SRR3495279_1_sort.bam,-0.081259761,-0.069510131,0.050426492,-0.016199935,Skywalker_OG,Type I,_,Skywalker_OG_Type I
120,sorted_bam/SRR3495280_1_sort.bam,0.040186442,0.003830193,0.034339314,0.000697784,Peaches_and_Cream,Type I,_,Peaches_and_Cream_Type I
121,sorted_bam/SRR3495281_1_sort.bam,-0.114583247,-0.107638585,0.067510229,-0.016386599,Boss_Hogg_F4,Type I,_,Boss_Hogg_F4_Type I
122,sorted_bam/SRR3495282_1_sort.bam,-0.020017077,0.118577441,-0.129886806,-0.049313363,Purple_Urkle,Type I,_,Purple_Urkle_Type I
123,sorted_bam/SRR3495283_1_sort.bam,0.047617154,-0.046520246,-0.096503472,-0.222244388,XJ_13,Type I,_,XJ_13_Type I
124,sorted_bam/SRR3495285_1_sort.bam,-0.054324926,0.041086481,0.028862818,0.017730829,Flo,Type I,_,Flo_Type I
125,sorted_bam/SRR3495287_1_sort.bam,-0.041428489,0.064443685,-0.001162154,-0.050336279,Train_Wreck,Type I,_,Train_Wreck_Type I
126,sorted_bam/SRR3495288_1_sort.bam,0.03002495,-0.051835729,-0.037553516,0.052836218,Juicy_Fruit,Type I,_,Juicy_Fruit_Type I
127,sorted_bam/SRR3495289_1_sort.bam,0.019497346,0.057477473,-0.072168072,-0.050170637,Grape_Romulan,Type I,_,Grape_Romulan_Type I
128,sorted_bam/SRR3495290_1_sort.bam,-0.15799574,-0.092949399,0.074893282,-0.088686508,Dead_Head_OG,Type I,_,Dead_Head_OG_Type I
129,sorted_bam/SRR3495291_1_sort.bam,0.018833871,0.158021901,-0.054239969,0.035999234,Purps,Type I,_,Purps_Type I
130,sorted_bam/SRR3495292_1_sort.bam,0.070347096,-0.116538676,-0.171019614,-0.048714364,Violator_Kush,Type I,_,Violator_Kush_Type I
131,sorted_bam/SRR3495293_1_sort.bam,-0.229146106,-0.146988798,0.122243489,-0.041681437,SFV,Type I,_,SFV_Type I
132,sorted_bam/SRR3495294_1_sort.bam,-0.213691605,-0.136325075,0.118144332,-0.039785933,Old_Skool_OG,Type I,_,Old_Skool_OG_Type I
133,sorted_bam/SRR3495295_1_sort.bam,0.018980447,0.087001924,-0.091701247,-0.010190934,Lions_Tabernacle,Type I,_,Lions_Tabernacle_Type I
134,sorted_bam/SRR3495296_1_sort.bam,0.041989192,-0.116056559,0.016955699,0.177465976,Pineapple_Express,Type I,_,Pineapple_Express_Type I
135,sorted_bam/SRR3495297_1_sort.bam,0.104183422,-0.06632336,-0.055022317,0.017641387,Grape_Ape_2,Type I,_,Grape_Ape_2_Type I
136,sorted_bam/SRR3495298_1_sort.bam,0.113603433,-0.105143986,-0.095544857,-0.19411942,Lemon_Skunk,Type I,_,Lemon_Skunk_Type I
137,sorted_bam/SRR3495299_1_sort.bam,0.001066333,-0.125679513,-0.07205393,-0.238807813,Snowcap_2,Type I,_,Snowcap_2_Type I
138,sorted_bam/SRR3495300_1_sort.bam,-0.014110876,0.110320958,-0.146278664,-0.05497669,Grand_Daddy_Purps,Type I,_,Grand_Daddy_Purps_Type I
139,sorted_bam/SRR3495301_1_sort.bam,-0.217988177,0.090431662,-0.102914464,0.02482208,Kosher_Kush_2,Type I,_,Kosher_Kush_2_Type I
140,sorted_bam/SRR3495302_1_sort.bam,0.09684495,-0.075213448,-0.088912432,-0.20388853,Jack_Herrer_4,Type I,_,Jack_Herrer_4_Type I
141,sorted_bam/SRR3495303_1_sort.bam,0.078211825,-0.053286552,-0.077638323,-0.179776099,Curtis,Unknown,_,Curtis_Unknown
142,sorted_bam/SRR3495304_1_sort.bam,0.029366292,-0.140850859,-0.065692408,0.050839359,Trainwreck,Type I,_,Trainwreck_Type I
